state,white,black_or_african_american,american_indian_and_alaska_native,asian,native_hawaiian_and_other_pacific-islander,hispanic_or_latino_any_race,state_id,congressional_district,year
 Massachusetts,91,2.6,0.3,1.3,0,4.7,25,9,2012
 Michigan,83.3,5.1,0.2,8.1,0,3.2,26,11,2012
 Michigan,79.7,11.2,0.2,4.8,0,5.3,26,12,2012
 Michigan,34.7,56.4,0.4,4.3,0,4.5,26,14,2012
 Florida,69,24.8,0.4,1.9,0,5.7,12,2,2012
 Florida,38.8,52.2,0.2,2.2,0.1,12.2,12,5,2012
 Florida,82,9,0.3,3.6,0,20.3,12,7,2012
 Florida,77.2,11.9,0.2,3.4,0.1,17.1,12,10,2012
 Florida,88.6,4.4,0.4,2.7,0.2,11.9,12,12,2012
 Florida,77.4,13.3,0.4,3.1,0,17,12,15,2012
 Florida,85.4,9.1,0.3,1.2,0.1,16.8,12,17,2012
 Georgia,63.5,29.7,0.3,1.8,0.1,6.7,13,1,2012
 Georgia,71,23.4,0.5,1.8,0,5.5,13,3,2012
 Georgia,32.4,59.3,0.4,3.7,0,7.6,13,5,2012
 Michigan,92.4,1.7,2.6,0.7,0,1.4,26,1,2012
 Michigan,87.1,6,0.8,2,0,8.9,26,2,2012
 Michigan,84.8,8.8,0.4,1.5,0,7,26,3,2012
 Michigan,94.2,1.7,0.7,1,0,3,26,4,2012
 Michigan,77.6,17.9,0.5,0.7,0,4.4,26,5,2012
 Michigan,85.1,8.5,0.5,1.5,0,5.5,26,6,2012
 Michigan,86.5,6.2,0.3,3.6,0,4.5,26,8,2012
 Alabama,67.8,27.7,1.1,1.4,0,2.9,1,1,2012
 Alabama,66,29.9,0.3,1.3,0,3.4,1,2,2012
 Alabama,70.3,26,0.3,1.3,0,2.7,1,3,2012
 Alabama,88,7.3,0.6,0.7,0,5,1,4,2012
 Alabama,77,17.2,0.8,1.4,0,4.9,1,5,2012
 Alabama,80.3,14.1,0.2,1.8,0,5,1,6,2012
 Alabama,34.3,63.2,0.2,0.6,0.1,3.1,1,7,2012
 Alaska,66.5,3.6,14,5.9,1.1,6,2,0,2012
 Arizona,80.8,4.9,1.2,2.5,0.1,26.2,4,2,2012
 Arizona,72.9,4.8,3.8,1.8,0.3,63.6,4,3,2012
 Arizona,86.2,2.7,0.7,3.8,0.3,18,4,5,2012
 Arizona,68.8,9.7,2.9,2.3,0.3,63.8,4,7,2012
 Arizona,85.5,4.9,0.7,3.5,0.1,19.1,4,8,2012
 Michigan,81.6,11.1,0.3,3.6,0,2.6,26,9,2012
 Minnesota,92.3,2.6,0.2,2.2,0.1,5.9,27,1,2012
 Minnesota,82.8,6.7,0.3,6.3,0,4.3,27,3,2012
 Minnesota,74.3,9.4,0.4,11.1,0,6.3,27,4,2012
 Minnesota,92.1,2.2,0.5,2.1,0,2.4,27,6,2012
 Minnesota,92.8,0.6,2.9,0.8,0.2,4,27,7,2012
