state,white,black_or_african_american,american_indian_and_alaska_native,asian,native_hawaiian_and_other_pacific-islander,hispanic_or_latino_any_race,state_id,congressional_district,year
 Missouri,68.4,22.3,0.5,1.7,0.5,9.1,29,5,2016
 Missouri,91.7,4.7,0.6,0.8,0,1.7,29,8,2016
 Montana,89,0.4,6.4,0.8,0.1,3.6,30,0,2016
 Nebraska,89.2,3.1,1.3,2.4,0,8.7,31,1,2016
 Nevada,68,6.7,0.5,14,1.1,16.6,32,3,2016
 New Hampshire,93.5,1.2,0.2,2.3,0,3.5,33,2,2016
 New Jersey,79.7,10.8,0.1,4,0.1,8.1,34,3,2016
 New Mexico,71.3,2.7,4.9,2.6,0.1,49.5,35,1,2016
 New York,74,9.8,0.5,3.4,0.1,24.4,36,2,2016
 New York,64.7,14.6,0.2,6.8,0,20.9,36,4,2016
 New York,47.3,11.1,0.5,19.1,0,39.3,36,7,2016
 New York,34.7,49.5,0.2,6.9,0,12,36,9,2016
 New York,73.4,4.7,0.3,14.1,0,14,36,12,2016
 New York,45.4,11.4,0.4,16.2,0.1,49.8,36,14,2016
 New York,68.5,10.7,0.2,5.7,0,22.4,36,17,2016
 New York,88.8,4.5,0.2,1.7,0,8.1,36,19,2016
 New York,89.4,4.3,0.1,2.6,0,3.8,36,22,2016
 New York,84.3,8.4,0.3,2.7,0,4.4,36,24,2016
 Indiana,69.6,18.7,0.3,1.2,0,15.6,18,1,2016
 Kansas,86.3,4.9,1.3,1.6,0.1,6.4,20,2,2016
 Kansas,82.5,6.5,0.9,3.1,0.1,12.3,20,4,2016
 Kentucky,84.8,8.8,0.2,2,0,4.7,21,6,2016
 Kentucky,89.1,7.6,0.3,0.4,0.2,2.7,21,1,2016
 Louisiana,78.2,14,1.2,2.1,0.1,8.8,22,1,2016
 Louisiana,70.1,25.1,0.3,1.4,0,3.5,22,3,2016
 Louisiana,69.8,24.1,0.5,2,0,4.6,22,6,2016
 Maine,94.1,1.8,0.4,1.8,0,1.7,23,1,2016
 Maryland,55.1,34.2,0.2,5.5,0,7.1,24,2,2016
 Maryland,49,38.7,0.3,4.3,0,7.9,24,5,2016
 Maryland,35.9,52.9,0.4,7.6,0.1,4,24,7,2016
 Massachusetts,86.2,6.3,0.2,2.1,0,17.7,25,1,2016
 Massachusetts,85.8,3.5,0,6.2,0,5,25,4,2016
 Massachusetts,84.6,3.8,0.1,4,0,9.3,25,6,2016
 Massachusetts,88,2.5,0.2,1.5,0.2,5.2,25,9,2016
 Michigan,85,5.7,0.2,4.9,0,5.3,26,8,2016
 Michigan,82.1,5,0.2,9.4,0,2.9,26,11,2016
 Michigan,33.4,56.1,0.3,4.8,0,4.6,26,14,2016
 Minnesota,90.2,3,0.3,2.7,0,6.4,27,1,2016
 Minnesota,80,8.2,0.3,7,0.1,4.8,27,3,2016
 Minnesota,90.8,2.9,0.4,2.7,0,2.7,27,6,2016
 Minnesota,92.9,1,2.9,0.8,0,1.7,27,8,2016
